epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s
117,6.875252,6.875252,0.0015,0.0692,0.0018,0.0035,6.871441,6.871441,0.0016,0.0000,0.0000,0.0000,-0.0038,8.0e-04,74.5
118,6.886931,6.886931,0.0016,0.0977,0.0019,0.0037,6.868344,6.868344,0.0016,0.0000,0.0000,0.0000,-0.0186,7.8e-04,74.3
119,6.888198,6.888198,0.0016,0.0866,0.0020,0.0040,6.872774,6.872774,0.0016,0.0000,0.0000,0.0000,-0.0154,7.7e-04,74.3
120,6.889310,6.889310,0.0015,0.0761,0.0017,0.0033,6.869602,6.869602,0.0016,0.0000,0.0000,0.0000,-0.0197,7.5e-04,74.3
121,6.886551,6.886551,0.0015,0.0802,0.0025,0.0048,6.877895,6.877895,0.0016,0.0000,0.0000,0.0000,-0.0087,7.4e-04,74.3
122,6.883930,6.883930,0.0015,0.0820,0.0022,0.0042,6.865312,6.865312,0.0015,0.0000,0.0000,0.0000,-0.0186,7.2e-04,74.1
123,6.900432,6.900432,0.0015,0.0753,0.0046,0.0086,6.893927,6.893927,0.0016,0.0000,0.0000,0.0000,-0.0065,7.1e-04,73.9
124,6.905851,6.905851,0.0014,0.0815,0.0110,0.0193,6.881543,6.881543,0.0016,0.0000,0.0000,0.0000,-0.0243,6.9e-04,74.1
125,6.896608,6.896608,0.0014,0.0882,0.0037,0.0072,6.885529,6.885529,0.0016,0.0000,0.0000,0.0000,-0.0111,6.8e-04,73.8
126,6.898247,6.898247,0.0014,0.0867,0.0036,0.0068,6.884827,6.884827,0.0016,0.0000,0.0000,0.0000,-0.0134,6.6e-04,73.9
127,6.886173,6.886173,0.0014,0.0779,0.0045,0.0085,6.878792,6.878792,0.0015,0.0000,0.0000,0.0000,-0.0074,6.5e-04,74.0
128,6.894975,6.894975,0.0014,0.0851,0.0067,0.0124,6.898007,6.898007,0.0016,0.0000,0.0000,0.0000,0.0030,6.4e-04,74.0
129,6.905522,6.905522,0.0014,0.0824,0.0061,0.0114,6.890623,6.890623,0.0015,0.0000,0.0000,0.0000,-0.0149,6.2e-04,74.2
130,6.898936,6.898936,0.0014,0.0745,0.0060,0.0111,6.887394,6.887394,0.0015,0.0000,0.0000,0.0000,-0.0115,6.1e-04,74.0
131,6.896489,6.896489,0.0013,0.0750,0.0066,0.0121,6.885502,6.885502,0.0015,0.0000,0.0000,0.0000,-0.0110,5.9e-04,74.2
132,6.895743,6.895743,0.0013,0.0800,0.0065,0.0119,6.878856,6.878856,0.0015,0.0000,0.0000,0.0000,-0.0169,5.8e-04,74.0
133,6.895061,6.895061,0.0014,0.0819,0.0075,0.0137,6.890140,6.890140,0.0015,0.0000,0.0000,0.0000,-0.0049,5.6e-04,74.0
134,6.898791,6.898791,0.0014,0.0727,0.0104,0.0182,6.888833,6.888833,0.0015,0.0000,0.0000,0.0000,-0.0100,5.5e-04,73.9
135,6.900175,6.900175,0.0014,0.0856,0.0133,0.0231,6.885764,6.885764,0.0015,0.0000,0.0000,0.0000,-0.0144,5.4e-04,73.9
136,6.900778,6.900778,0.0013,0.0751,0.0114,0.0198,6.896912,6.896912,0.0015,0.0000,0.0000,0.0000,-0.0039,5.2e-04,74.0
137,6.898094,6.898094,0.0013,0.0797,0.0116,0.0203,6.885737,6.885737,0.0015,0.0000,0.0000,0.0000,-0.0124,5.1e-04,73.9
138,6.898134,6.898134,0.0013,0.0759,0.0122,0.0211,6.885215,6.885215,0.0014,0.0000,0.0000,0.0000,-0.0129,5.0e-04,74.5
139,6.894670,6.894670,0.0013,0.0870,0.0101,0.0182,6.882140,6.882140,0.0014,0.0000,0.0000,0.0000,-0.0125,4.8e-04,74.1
140,6.893257,6.893257,0.0013,0.0849,0.0073,0.0135,6.886195,6.886195,0.0015,0.0000,0.0000,0.0000,-0.0071,4.7e-04,74.2
141,6.895892,6.895892,0.0014,0.0817,0.0080,0.0145,6.887677,6.887677,0.0015,0.0000,0.0000,0.0000,-0.0082,4.6e-04,74.3
142,6.895213,6.895213,0.0013,0.0802,0.0107,0.0188,6.877572,6.877572,0.0013,0.0000,0.0000,0.0000,-0.0176,4.5e-04,74.3
143,6.890646,6.890646,0.0013,0.0854,0.0097,0.0174,6.882387,6.882387,0.0014,0.0000,0.0000,0.0000,-0.0083,4.3e-04,74.6
144,6.886164,6.886164,0.0013,0.0781,0.0084,0.0151,6.873203,6.873203,0.0011,0.0000,0.0000,0.0000,-0.0130,4.2e-04,74.4
145,6.888827,6.888827,0.0013,0.0770,0.0074,0.0135,6.896332,6.896332,0.0011,0.0000,0.0000,0.0000,0.0075,4.1e-04,74.5
146,6.898534,6.898534,0.0013,0.0788,0.0067,0.0124,6.886760,6.886760,0.0011,0.0000,0.0000,0.0000,-0.0118,4.0e-04,74.2
147,6.897535,6.897535,0.0013,0.0875,0.0125,0.0218,6.892190,6.892190,0.0013,0.0000,0.0000,0.0000,-0.0053,3.8e-04,74.3
148,6.900030,6.900030,0.0013,0.0796,0.0140,0.0238,6.895682,6.895682,0.0014,0.0000,0.0000,0.0000,-0.0043,3.7e-04,74.3
149,6.899981,6.899981,0.0014,0.0837,0.0191,0.0311,6.894375,6.894375,0.0014,0.0000,0.0000,0.0000,-0.0056,3.6e-04,74.2
150,6.899266,6.899266,0.0014,0.0811,0.0119,0.0207,6.891430,6.891430,0.0014,0.0000,0.0000,0.0000,-0.0078,3.5e-04,74.4
151,6.896507,6.896507,0.0014,0.0767,0.0093,0.0166,6.888058,6.888058,0.0014,0.0000,0.0000,0.0000,-0.0084,3.4e-04,74.3
152,6.894990,6.894990,0.0014,0.0908,0.0106,0.0190,6.889064,6.889064,0.0014,0.0000,0.0000,0.0000,-0.0059,3.3e-04,74.5
153,6.900636,6.900636,0.0014,0.0810,0.0162,0.0270,6.898495,6.898495,0.0015,0.0000,0.0000,0.0000,-0.0021,3.2e-04,74.2
154,6.895514,6.895514,0.0013,0.0812,0.0209,0.0332,6.887294,6.887294,0.0015,0.0000,0.0000,0.0000,-0.0082,3.1e-04,74.3
155,6.891268,6.891268,0.0013,0.0885,0.0232,0.0367,6.885357,6.885357,0.0015,0.0000,0.0000,0.0000,-0.0059,3.0e-04,74.2
156,6.892175,6.892175,0.0013,0.0828,0.0198,0.0319,6.884812,6.884812,0.0013,0.0000,0.0000,0.0000,-0.0074,2.8e-04,74.3
157,6.891996,6.891996,0.0013,0.0901,0.0180,0.0300,6.890008,6.890008,0.0014,0.0000,0.0000,0.0000,-0.0020,2.7e-04,74.5
158,6.894017,6.894017,0.0014,0.0806,0.0208,0.0330,6.885903,6.885903,0.0015,0.0000,0.0000,0.0000,-0.0081,2.6e-04,74.6
159,6.894643,6.894643,0.0014,0.0830,0.0267,0.0404,6.891308,6.891308,0.0015,0.0000,0.0000,0.0000,-0.0033,2.6e-04,74.5
160,6.896687,6.896687,0.0014,0.0869,0.0286,0.0431,6.891899,6.891899,0.0015,0.0000,0.0000,0.0000,-0.0048,2.5e-04,74.3
161,6.896714,6.896714,0.0014,0.0823,0.0264,0.0400,6.892062,6.892062,0.0015,0.0000,0.0000,0.0000,-0.0047,2.4e-04,74.2
162,6.896011,6.896011,0.0014,0.0831,0.0246,0.0380,6.892611,6.892611,0.0014,0.0000,0.0000,0.0000,-0.0034,2.3e-04,74.1
163,6.894961,6.894961,0.0014,0.0842,0.0258,0.0395,6.885995,6.885995,0.0014,0.0000,0.0000,0.0000,-0.0090,2.2e-04,74.2
164,6.892703,6.892703,0.0014,0.0829,0.0302,0.0442,6.887695,6.887695,0.0014,0.0000,0.0000,0.0000,-0.0050,2.1e-04,74.6
165,6.898923,6.898923,0.0014,0.0800,0.0315,0.0452,6.893302,6.893302,0.0014,0.0000,0.0000,0.0000,-0.0056,2.0e-04,74.6
166,6.897820,6.897820,0.0014,0.0832,0.0314,0.0456,6.891003,6.891003,0.0014,0.0000,0.0000,0.0000,-0.0068,1.9e-04,74.5
167,6.893587,6.893587,0.0014,0.0833,0.0272,0.0410,6.887169,6.887169,0.0014,0.0000,0.0000,0.0000,-0.0064,1.8e-04,74.2
168,6.892614,6.892614,0.0014,0.0741,0.0267,0.0393,6.889852,6.889852,0.0015,0.0000,0.0000,0.0000,-0.0028,1.8e-04,74.2
169,6.898101,6.898101,0.0015,0.0818,0.0396,0.0533,6.895211,6.895211,0.0015,0.0000,0.0000,0.0000,-0.0029,1.7e-04,74.2
170,6.899474,6.899474,0.0014,0.0843,0.0344,0.0488,6.894655,6.894655,0.0014,0.0000,0.0000,0.0000,-0.0048,1.6e-04,74.3
171,6.898766,6.898766,0.0014,0.0762,0.0349,0.0479,6.892182,6.892182,0.0014,0.0000,0.0000,0.0000,-0.0066,1.5e-04,74.5
172,6.895438,6.895438,0.0014,0.0770,0.0337,0.0469,6.888419,6.888419,0.0014,0.0000,0.0000,0.0000,-0.0070,1.5e-04,74.3
173,6.894880,6.894880,0.0015,0.0798,0.0425,0.0555,6.891208,6.891208,0.0014,0.0000,0.0000,0.0000,-0.0037,1.4e-04,74.5
