iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
190,22.92,17.0366,167.1211,37.3766,0.5979,1.0e-04,23.59,0.33,6.0
191,24.48,18.4229,157.6811,40.0536,0.6066,1.0e-04,,,5.1
192,24.93,18.6211,132.8170,40.5028,0.6010,1.0e-04,,,3.5
193,24.64,18.4746,152.2079,41.9256,0.6031,1.0e-04,,,3.5
194,24.92,18.5293,163.5081,40.2599,0.6043,1.0e-04,,,6.1
195,26.06,19.4448,149.4989,39.5027,0.6087,1.0e-04,,,3.5
196,24.23,17.9697,177.1791,41.4435,0.6054,1.0e-04,,,6.1
197,25.40,18.7407,159.2384,38.7898,0.6058,1.0e-04,,,5.2
198,24.47,18.0913,147.4477,38.7679,0.6021,1.0e-04,,,3.5
199,25.53,19.0752,142.9106,41.2557,0.6035,1.0e-04,,,5.2
200,24.95,18.3926,160.2314,41.4347,0.5963,1.0e-04,24.17,0.48,5.4
201,24.03,17.6465,182.9712,41.3482,0.5985,1.0e-04,,,5.1
202,24.40,18.2017,169.9979,40.7292,0.6017,1.0e-04,,,5.2
203,24.90,18.3682,151.6250,39.2315,0.6033,1.0e-04,,,6.1
204,25.40,18.5864,140.2332,39.6165,0.6069,1.0e-04,,,3.5
205,24.76,18.1479,153.1398,39.5208,0.6011,1.0e-04,,,3.5
206,25.59,18.8579,169.0579,42.9148,0.5982,1.0e-04,,,6.1
207,25.82,19.2275,159.9599,41.2727,0.6089,1.0e-04,,,6.1
208,23.79,17.2998,159.8617,39.2844,0.6030,1.0e-04,,,3.5
209,24.01,17.4146,150.8366,39.6994,0.6008,1.0e-04,,,5.1
210,23.41,16.8530,147.6374,39.1375,0.6010,1.0e-04,24.56,0.49,5.1
211,25.46,18.8750,144.1756,39.3807,0.6035,1.0e-04,,,5.1
212,23.78,17.5005,145.1804,38.6094,0.5991,1.0e-04,,,3.5
213,24.98,18.6284,158.8893,38.7330,0.5973,1.0e-04,,,5.2
214,25.00,18.6606,171.9644,39.7614,0.5973,1.0e-04,,,3.5
215,24.82,18.5605,160.3351,40.1935,0.6090,1.0e-04,,,3.5
216,26.18,19.6162,137.8391,40.9864,0.6079,1.0e-04,,,6.1
217,25.14,18.4473,156.8356,41.1364,0.6025,1.0e-04,,,6.1
218,26.62,19.6167,151.5814,41.0761,0.6027,1.0e-04,,,6.1
219,24.77,17.9668,158.2223,41.1310,0.6087,1.0e-04,,,3.5
220,24.62,18.1372,154.8590,43.8661,0.6114,1.0e-04,25.85,0.56,6.1
221,25.35,18.6870,166.9541,42.9631,0.6053,1.0e-04,,,6.1
222,23.53,17.2627,168.8406,40.4937,0.6049,1.0e-04,,,3.5
223,24.78,18.5234,159.1190,41.7857,0.6014,1.0e-04,,,6.1
224,24.91,18.6729,165.7392,41.2244,0.6110,1.0e-04,,,3.5
225,24.79,18.5728,179.7831,45.0744,0.6057,1.0e-04,,,6.1
226,24.74,18.1104,163.8734,43.0655,0.6133,1.0e-04,,,3.5
227,23.83,17.3853,155.9081,40.5875,0.6081,1.0e-04,,,6.0
228,25.02,18.3818,168.3913,40.3864,0.6102,1.0e-04,,,3.5
229,24.26,17.6812,151.1689,40.1994,0.6165,1.0e-04,,,6.0
230,24.11,17.7124,167.4518,41.6607,0.6142,1.0e-04,24.66,0.43,6.1
231,24.20,17.8774,169.9800,39.3185,0.6144,1.0e-04,,,6.0
232,24.91,18.5811,147.1138,41.2649,0.6074,1.0e-04,,,3.5
233,24.40,18.1543,154.5203,40.3542,0.6083,1.0e-04,,,5.2
234,25.76,19.3242,145.6465,40.2102,0.6089,1.0e-04,,,3.5
235,23.72,17.3018,150.2171,38.6688,0.6138,1.0e-04,,,6.4
236,24.48,18.0117,153.0974,41.7500,0.6106,1.0e-04,,,5.3
237,24.73,18.2124,153.8491,40.0923,0.6101,1.0e-04,,,6.2
238,24.52,18.0698,150.5630,40.6815,0.6143,1.0e-04,,,5.2
239,24.58,17.9785,149.0414,37.5714,0.6182,1.0e-04,,,3.5
240,24.58,18.1206,149.2050,41.0030,0.6121,1.0e-04,24.83,0.45,6.1
241,24.24,17.9297,149.7212,40.2530,0.6128,1.0e-04,,,3.5
242,25.31,18.6338,144.6429,37.7415,0.6162,1.0e-04,,,6.0
243,23.92,17.5894,153.8646,40.9018,0.6132,1.0e-04,,,6.0
244,24.50,17.8823,157.8342,39.3006,0.6169,1.0e-04,,,3.5
245,25.71,18.9434,152.9616,41.7131,0.6137,1.0e-04,,,3.5
246,25.79,19.2412,147.0588,40.7131,0.6188,1.0e-04,,,3.5
247,23.91,17.3975,146.9388,41.1667,0.6144,1.0e-04,,,3.4
248,23.77,17.3726,135.7743,39.3750,0.6144,1.0e-04,,,6.1
249,25.19,18.7764,148.3373,39.9773,0.6086,1.0e-04,,,3.5
250,24.87,18.5898,164.0893,43.1989,0.6098,1.0e-04,25.20,0.48,3.5
251,24.88,18.4062,156.8112,41.5625,0.6159,1.0e-04,,,3.5
252,23.96,17.9121,161.9264,39.8512,0.5976,1.0e-04,,,5.4
